Fold 1 for k=1,l=20.
Initialising F using KMeans.
Iteration: 1.
Iteration: 2.
[622.0]
Initialising G using KMeans.
Iteration: 1.
Iteration: 2.
Iteration: 3.
Iteration: 4.
Iteration: 5.
Iteration: 6.
[11.0, 2.0, 4.0, 1.0, 0.0, 0.0, 0.0, 30.0, 6.0, 31.0, 0.0, 1.0, 0.0, 32.0, 3.0, 0.0, 0.0, 6.0, 12.0, 0.0]
Iteration 31. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 32. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 33. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 34. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 35. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 36. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 37. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 38. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 39. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 40. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 41. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 42. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 43. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 44. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 45. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 46. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 47. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 48. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 49. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 50. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 51. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 52. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 53. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 54. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 55. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 56. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 57. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 58. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 59. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 60. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 61. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 62. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 63. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 64. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 65. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 66. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 67. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 68. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 69. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 70. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 71. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 72. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 73. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 74. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 75. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 76. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 77. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 78. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 79. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 80. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 81. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 82. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 83. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 84. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 85. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 86. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 87. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 88. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 89. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 90. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 91. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 92. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 93. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 94. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 95. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 96. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 97. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 98. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 99. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 100. I-divergence: 1631.41606393. MSE: 0.84277640679.
Performance on test set: MSE=0.854483256799, I-div=412.444489635.
0.854483256799
