Fold 1 for k=5,l=5.
Initialising F using KMeans.
Iteration: 1.
Iteration: 2.
Iteration: 3.
Iteration: 4.
Iteration: 5.
Iteration: 6.
Iteration: 7.
Iteration: 8.
Iteration: 9.
Iteration: 10.
Iteration: 11.
Iteration: 12.
Iteration: 13.
Iteration: 14.
Iteration: 15.
[191.0, 106.0, 143.0, 125.0, 57.0]
Initialising G using KMeans.
Iteration: 1.
Iteration: 2.
Iteration: 3.
Iteration: 4.
Iteration: 5.
Iteration: 6.
Iteration: 7.
[27.0, 21.0, 28.0, 33.0, 30.0]
Iteration 85. I-divergence: 1520.10908302. MSE: 0.784396519338.
Iteration 86. I-divergence: 1519.95877958. MSE: 0.78431758791.
Iteration 87. I-divergence: 1519.80864381. MSE: 0.784238743202.
Iteration 88. I-divergence: 1519.65865566. MSE: 0.784159974906.
Iteration 89. I-divergence: 1519.50879677. MSE: 0.784081273588.
Iteration 90. I-divergence: 1519.35905035. MSE: 0.784002630609.
Iteration 91. I-divergence: 1519.20940104. MSE: 0.783924038055.
Iteration 92. I-divergence: 1519.05983477. MSE: 0.783845488683.
Iteration 93. I-divergence: 1518.91033869. MSE: 0.783766975856.
Iteration 94. I-divergence: 1518.76090102. MSE: 0.783688493495.
Iteration 95. I-divergence: 1518.61151098. MSE: 0.783610036033.
Iteration 96. I-divergence: 1518.4621587. MSE: 0.783531598369.
Iteration 97. I-divergence: 1518.31283515. MSE: 0.783453175827.
Iteration 98. I-divergence: 1518.16353208. MSE: 0.783374764126.
Iteration 99. I-divergence: 1518.01424191. MSE: 0.78329635934.
Iteration 100. I-divergence: 1517.86495772. MSE: 0.783217957872.
Iteration 101. I-divergence: 1517.71567317. MSE: 0.783139556425.
Iteration 102. I-divergence: 1517.56638245. MSE: 0.783061151978.
Iteration 103. I-divergence: 1517.41708027. MSE: 0.78298274176.
Iteration 104. I-divergence: 1517.26776174. MSE: 0.78290432323.
Iteration 105. I-divergence: 1517.11842243. MSE: 0.782825894061.
Iteration 106. I-divergence: 1516.96905825. MSE: 0.782747452115.
Iteration 107. I-divergence: 1516.81966547. MSE: 0.782668995436.
Iteration 108. I-divergence: 1516.67024069. MSE: 0.782590522227.
Iteration 109. I-divergence: 1516.52078076. MSE: 0.782512030841.
Iteration 110. I-divergence: 1516.37128284. MSE: 0.782433519766.
Iteration 111. I-divergence: 1516.2217443. MSE: 0.782354987617.
Iteration 112. I-divergence: 1516.07216274. MSE: 0.782276433122.
Iteration 113. I-divergence: 1515.92253598. MSE: 0.782197855114.
