Fold 1 for k=1,l=1.
Initialising F using KMeans.
Iteration: 1.
Iteration: 2.
[622.0]
Initialising G using KMeans.
Iteration: 1.
Iteration: 2.
[139.0]
Iteration 33. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 34. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 35. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 36. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 37. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 38. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 39. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 40. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 41. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 42. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 43. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 44. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 45. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 46. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 47. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 48. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 49. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 50. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 51. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 52. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 53. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 54. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 55. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 56. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 57. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 58. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 59. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 60. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 61. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 62. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 63. I-divergence: 1631.41606393. MSE: 0.84277640679.
