Fold 1 for k=1,l=15.
Initialising F using KMeans.
Iteration: 1.
Iteration: 2.
[622.0]
Initialising G using KMeans.
Iteration: 1.
Iteration: 2.
Iteration: 3.
Iteration: 4.
Iteration: 5.
Iteration: 6.
Iteration: 7.
[15.0, 3.0, 4.0, 1.0, 0.0, 1.0, 0.0, 36.0, 7.0, 27.0, 0.0, 9.0, 0.0, 32.0, 4.0]
Iteration 48. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 49. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 50. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 51. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 52. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 53. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 54. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 55. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 56. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 57. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 58. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 59. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 60. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 61. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 62. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 63. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 64. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 65. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 66. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 67. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 68. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 69. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 70. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 71. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 72. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 73. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 74. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 75. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 76. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 77. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 78. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 79. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 80. I-divergence: 1631.41606393. MSE: 0.84277640679.
