Fold 1 for k=5,l=1.
Initialising F using KMeans.
Iteration: 1.
Iteration: 2.
Iteration: 3.
Iteration: 4.
Iteration: 5.
Iteration: 6.
Iteration: 7.
Iteration: 8.
Iteration: 9.
Iteration: 10.
Iteration: 11.
Iteration: 12.
Iteration: 13.
Iteration: 14.
Iteration: 15.
[191.0, 106.0, 143.0, 125.0, 57.0]
Initialising G using KMeans.
Iteration: 1.
Iteration: 2.
[139.0]
Iteration 87. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 88. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 89. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 90. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 91. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 92. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 93. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 94. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 95. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 96. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 97. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 98. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 99. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 100. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 101. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 102. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 103. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 104. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 105. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 106. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 107. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 108. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 109. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 110. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 111. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 112. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 113. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 114. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 115. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 116. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 117. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 118. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 119. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 120. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 121. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 122. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 123. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 124. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 125. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 126. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 127. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 128. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 129. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 130. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 131. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 132. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 133. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 134. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 135. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 136. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 137. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 138. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 139. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 140. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 141. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 142. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 143. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 144. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 145. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 146. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 147. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 148. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 149. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 150. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 151. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 152. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 153. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 154. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 155. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 156. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 157. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 158. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 159. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 160. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 161. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 162. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 163. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 164. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 165. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 166. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 167. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 168. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 169. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 170. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 171. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 172. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 173. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 174. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 175. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 176. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 177. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 178. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 179. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 180. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 181. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 182. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 183. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 184. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 185. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 186. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 187. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 188. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 189. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 190. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 191. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 192. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 193. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 194. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 195. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 196. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 197. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 198. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 199. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 200. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 201. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 202. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 203. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 204. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 205. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 206. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 207. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 208. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 209. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 210. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 211. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 212. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 213. I-divergence: 1631.41606393. MSE: 0.84277640679.
