Cell Line	Cancer Type	Tissue	Erlotinib_IC_50	Rapamycin_IC_50	Sunitinib_IC_50	PHA-665752_IC_50	MG-132_IC_50	Paclitaxel_IC_50	Cyclopamine_IC_50	AZ628_IC_50	Sorafenib_IC_50	VX-680_IC_50	Imatinib_IC_50	NVP-TAE684_IC_50	PF-02341066_IC_50	AZD-0530_IC_50	S-Trityl-L-cysteine_IC_50	Z-LLNle-CHO_IC_50	Dasatinib_IC_50	GNF-2_IC_50	CGP-60474_IC_50	CGP-082996_IC_50	A-770041_IC_50	WH-4-023_IC_50	WZ-1-84_IC_50	BI-2536_IC_50	BMS-536924_IC_50	BMS-509744_IC_50	CMK_IC_50	Pyrimethamine_IC_50	JW-7-52-1_IC_50	A-443654_IC_50	GW843682X_IC_50	MS-275_IC_50	Parthenolide_IC_50	KIN001-135_IC_50	TGX221_IC_50	Bortezomib_IC_50	XMD8-85_IC_50	Roscovitine_IC_50	Salubrinal_IC_50	Lapatinib_IC_50	GSK269962A_IC_50	Doxorubicin_IC_50	Etoposide_IC_50	Gemcitabine_IC_50	Mitomycin C_IC_50	Vinorelbine_IC_50	NSC-87877_IC_50	Bicalutamide_IC_50	QS11_IC_50	Midostaurin_IC_50	CHIR-99021_IC_50	AP-24534_IC_50	AZD6482_IC_50	JNK-9L_IC_50	PF-562271_IC_50	DMOG_IC_50	FTI-277_IC_50	OSU-03012_IC_50	Shikonin_IC_50	AKT inhibitor VIII_IC_50	Embelin_IC_50	FH535_IC_50	PAC-1_IC_50	IPA-3_IC_50	GSK-650394_IC_50	BAY 61-3606_IC_50	Thapsigargin_IC_50	Obatoclax Mesylate_IC_50	BMS-754807_IC_50	OSI-906_IC_50	Bexarotene_IC_50	Bleomycin_IC_50	LFM-A13_IC_50	AUY922_IC_50	Bryostatin 1_IC_50	Pazopanib_IC_50	LAQ824_IC_50	Epothilone B_IC_50	GSK-1904529A_IC_50	Tipifarnib_IC_50	AS601245_IC_50	AICAR_IC_50	Camptothecin_IC_50	Vinblastine_IC_50	Cisplatin_IC_50	Cytarabine_IC_50	Docetaxel_IC_50	Methotrexate_IC_50	ATRA_IC_50	Gefitinib_IC_50	ABT-263_IC_50	Vorinostat_IC_50	Nilotinib_IC_50	RDEA119_IC_50	CI-1040_IC_50	Temsirolimus_IC_50	AZD-2281_IC_50	ABT-888_IC_50	Bosutinib_IC_50	Lenalidomide_IC_50	Axitinib_IC_50	AZD7762_IC_50	GW 441756_IC_50	CEP-701_IC_50	SB 216763_IC_50	17-AAG_IC_50	VX-702_IC_50	AMG-706_IC_50	KU-55933_IC_50	Elesclomol_IC_50	BIBW2992_IC_50	GDC-0449_IC_50	PLX4720_IC_50	BX-795_IC_50	NU-7441_IC_50	SL 0101-1_IC_50	BIRB 0796_IC_50	JNK Inhibitor VIII_IC_50	681640_IC_50	Nutlin-3a_IC_50	PD-173074_IC_50	ZM-447439_IC_50	RO-3306_IC_50	MK-2206_IC_50	PD-0332991_IC_50	NVP-BEZ235_IC_50	GDC0941_IC_50	AZD8055_IC_50	PD-0325901_IC_50	SB590885_IC_50	AZD6244_IC_50	AZD6482_IC_50	CCT007093_IC_50	EHT 1864_IC_50	BMS-708163_IC_50	PF-4708671_IC_50	JNJ-26854165_IC_50	TW 37_IC_50	CCT018159_IC_50	AG-014699_IC_50
MC-CAR	blood	haematopoietic_neoplasm_other	0.746409649992	0.839119358674	0.224170843771	1.21936761449	-0.00622217257689	-1.12796695844	0.666026544077	0.79675881358	1.95746527912	0.19889401231	1.26808346102	2.35147716429	1.76340997402	1.61243786264	-0.459141403407	1.07314443992	1.71171823982	1.5023584425	-0.946867800801	0.757850487362	0.311577320432	1.88226681556	1.60355073414	1.08189159574	0.561488551426	2.16424563594	1.20780058342	2.04305356642	0.0324053476915	0.470062554342	-0.883587844225	2.44979783499	1.54819011527	1.2713891444	1.46967080553	-0.161930919611	0.540333986287	1.31418729588	0.52527199845	1.33583006933	1.98910485651	-0.743033259363	-0.951956405296	-0.528629312648	-0.359133969786	-0.620622817465	0.748884137026	0.078553800029	-0.25376737687	0.262577197397	-0.612051213447	-0.335689475948	-0.50820506966	-0.690292795135	0.25371035155	-0.0455621553299	-1.49232435609	-0.997288695715	-0.261030197275	-0.752782527574	-0.926257525008	0.0444607946274	-1.51422987831	-1.42716712367	-0.136030988131	-1.18326676827	0.0306326981189	-1.2276477805	0.67021886415	-0.105014262899	-0.565837397017	-0.344733853717	0.290343488166	-0.391921696164	0.0570317880211	-0.180288098425	-1.92098997036	-0.0576933356867	0.745455767958	0.00488794948385	-0.26506050152	-1.13718299821	-0.368977000866	-0.780937491876	1.55749502026	-1.82922208017	1.31206294178	-1.27135793172	0.349729162637	1.1809003198	-2.59305922495	-0.878579947066	0.439343160648	-0.0892788300732	-0.167550786454	-1.36056853955	1.25678030414	1.11167146304	0.182823475062	0.992471975351	0.323307298132	-0.751840722849	1.11034319936	-0.984889749151	1.07106550059	0.637155577126	1.18601836204	0.376289864559	-0.425768562279	-0.512269835356	1.09378146746	0.756350577191	0.19557066204	-0.589152893909	-0.787994566195	-0.318010330141	0.758013948359	0.0314723022504	0.270765699253	-0.673669681715	-1.09616417821	-1.10014942109	0.304417367338	-1.95945188348	-0.765228810059	-1.26103274168	-0.896221483365	-1.66626984008	-0.132940497548	-0.925093775443	-0.364073619761	-0.570424166989	-0.0418361385219	0.975554892447	-0.0037923850671	0.719664508841	0.654572772895	-0.913872421281	-0.819002614299	-0.276470924293
PFSK-1	nervous_system	medulloblastoma	-0.812412216472	0.158119790597	-0.680592905389	-0.944182451229	-0.432786173038	0.545740868513	-0.944808072461	-0.584575332237	-0.782132406188	-0.540578512819	-0.93991823026	-0.421415711703	-0.884422499731	-0.811110842745	-0.562532917698	-0.725436216439	-0.29496047931	-0.93422547428	0.461650175103	-0.874147950396	-0.695430477548	-0.568876860393	-0.917568731568	0.335696038077	-0.602419185216	-0.854290372616	-0.840205821624	-0.822403502682	0.324105120295	0.0674927776006	0.438260600186	-0.376758409009	-0.904898726257	-0.980105040798	-0.908916319104	0.837680361566	-0.799055840386	-0.900690280374	-0.874142678117	-0.849760595241	-0.72719015253	0.576052044511	1.13265571672	0.706217386941	1.28967633616	-0.250635332906	0.77927870043	0.655923225101	-0.060106971563	0.970571686086	-0.478973125678	0.771587395656	-0.114076123359	-0.149238333489	0.204205596655	-0.320263942745	0.300879587762	0.136658509302	1.96351735251	1.33325430967	-0.228767513423	0.239166634817	0.24354098673	0.511549959538	0.379152738401	-0.263591955632	-0.18441816856	0.504157100744	0.479173785777	0.19465392213	1.51084131358	0.628390541292	0.655833674154	0.0180418669467	1.43867200026	0.523443717012	0.645420224408	0.066269324759	1.18782597737	0.625540501355	-0.0933606105207	1.01102227987	-0.0772705313142	-0.565929367458	-0.531642315903	0.340003401217	-0.920395158431	-0.419499251239	0.0986982815531	0.107068580035	-0.240144750512	-0.851983829974	-0.547877184325	1.31984369196	0.709955715226	-1.49257929596	-1.12628007113	-1.21028797346	0.523093473936	0.325834976003	-0.903625640063	-0.691386852815	-1.34670316367	0.993523366494	-0.888952071143	0.643505710424	0.683138598785	-0.710384087908	0.23145946286	-1.37884027647	0.707658280056	0.355547342527	-0.515652176347	-0.0499020725686	-0.838821560604	0.439688878636	-1.56807376227	-0.577815292629	0.623980389551	0.0327928150062	0.590429134926	-0.423846709122	-0.915419447768	-0.628261433014	0.600088813985	-0.534706283354	-0.660011237681	-0.217518345747	-0.546143987824	0.59517863212	0.861265189758	1.36750560493	0.391560609391	0.396630553097	-0.779013005158	0.0894408078816	0.576932131318	-0.751762809383	0.0700990567984	0.294506395556
A673	soft_tissue	rhabdomyosarcoma	-0.812412216472	0.158119790597	-0.680592905389	-0.944182451229	-0.432786173038	0.545740868513	-0.944808072461	-0.584575332237	-0.782132406188	-0.540578512819	-0.93991823026	-0.421415711703	-0.884422499731	-0.811110842745	-0.562532917698	-0.725436216439	-0.29496047931	-0.93422547428	0.461650175103	-0.874147950396	-0.695430477548	-0.568876860393	-0.917568731568	0.335696038077	-0.602419185216	-0.854290372616	-0.840205821624	-0.822403502682	0.324105120295	0.0674927776006	0.438260600186	-0.376758409009	-0.904898726257	-0.980105040798	-0.908916319104	0.837680361566	-0.799055840386	-0.900690280374	-0.874142678117	-0.849760595241	-0.72719015253	0.00242363962003	-0.413150780609	-0.25919374562	0.369588435027	-0.734015228365	-0.813222716368	0.177729409333	0.0121232509325	-0.367933164026	0.705862375612	-0.254325974518	-0.151838981751	0.078845777014	0.396617958161	-0.030671757344	1.21060473702	-0.610703534475	-0.0625361462518	0.265817133552	-0.292526318808	-0.624580129094	1.21065961463	1.36195113337	-0.507056354782	0.00198479018508	-0.37305347413	0.296390230812	-0.725530570798	-0.403659926001	-0.768810348161	0.271925654503	-0.191360978861	0.0260622492526	0.958917814287	1.24796251738	0.227282565829	-0.59853324047	0.654143828768	0.231043391819	0.258153057041	0.0506124072565	-1.41709757074	-0.631311055997	-1.39084019397	-1.04549421097	-0.690198314824	0.00563954699925	-0.73927436639	-0.0412735068845	0.965079051166	-0.171127250768	0.427860965482	0.368598492624	-0.234444252344	-0.336466153756	-0.47857719107	0.424555994169	0.0849623247343	-0.0830960796963	0.216689697721	0.0564719286132	0.416689537726	-0.0286890757927	0.732213651284	1.7969145019	0.753438510513	-0.608020260591	0.337645551591	-0.765738643006	0.864290355773	0.126878137806	-0.279676446112	1.8710026997	0.59629963618	0.104070212362	0.495785130397	0.387765436404	0.918706437537	0.714142050961	0.947572567713	1.51489340934	0.718268492904	1.40044167218	-0.290870298016	3.34963741333	2.03225379537	3.1422866585	0.663750884658	0.345856331239	0.820362070689	-0.0882612563245	0.0228322977492	-0.0335352052854	0.574012999898	1.20871174565	0.20206697977	-1.54793092842	-0.590781669873	-1.30434612808
ES3	bone	ewings_sarcoma	1.40996656235	1.39743602064	0.86578302616	1.29332419726	0.346713535085	1.53848526825	0.955263799091	1.06179938151	0.478630297597	1.10075083304	1.10269287353	2.00679436192	1.64603417064	0.378091455985	2.3959797594	0.781001832493	1.05249600182	0.268168878207	0.431160024757	0.209520997493	1.69736535347	1.08675741612	1.14021764777	1.89056118673	1.36202611406	0.09491211735	0.290151213105	1.00092630051	2.25208011964	0.918978527642	1.98909484353	1.84488473941	1.6685988013	1.63725681053	1.14920239126	-0.290443813583	2.34917230177	0.3153121295	1.72274204223	1.4880817122	0.867647629375	-0.438635895616	-0.918843013553	-0.192808795531	-1.74092628597	-0.103984846172	-0.191023067891	0.14314663473	-0.867627935872	0.300228154941	0.713087884441	-0.167187090873	0.165211324599	0.0614135516597	0.91187580882	0.0962117298629	0.743557694242	-0.120752469233	-0.366076381905	-0.527650513935	-0.17067378473	-0.0484852884236	-1.07556374104	-1.14097230724	0.526390913691	-0.696200447735	-0.561409973487	-0.142034966757	-1.16418492633	-1.44395454884	0.167844494201	-0.301994933243	0.434604419742	-0.0621827159397	0.578685411823	0.716780497445	0.0673457398851	0.113980498891	-1.76416599114	0.118959817745	0.0213000137786	-0.288386846281	-1.36018052697	-1.09325736595	-1.90310477423	-1.10386286496	-0.604985587332	-0.838138235915	-0.930872046562	0.639681536985	-0.23570572716	-0.335094008853	0.406148326964	1.18499824442	0.0528606683828	-0.636903205011	0.248965250578	0.331260329826	0.643243263323	-1.2197066085	0.0165739322945	-1.08562003297	0.160509191916	-1.00209681395	-0.828229996871	-0.143540497241	0.435819289752	-0.442122496479	-0.334581149608	-1.06368647572	0.368519746427	0.431588763661	0.137941860407	-0.694176501571	0.499184010356	0.188038082056	0.457735898305	-1.12400356771	0.204200110459	-0.755647660773	0.499795220345	-1.89884102439	-1.1451726662	-0.700659498654	-1.26562238711	-0.974085634896	0.853119100478	-0.0503467375963	1.20364452437	0.728536110679	-0.768785191977	0.408936470167	-0.00853282566416	0.0993751877585	-0.734247779875	-0.925008805785	-0.316981737868	-0.27787323178	-0.39306308699	-1.53834218709
ES5	bone	ewings_sarcoma	1.70336462389	1.39769048789	0.68823368056	0.096975711008	0.355769634744	1.46367549369	1.45244079756	0.544920871361	0.991452909656	1.89583250204	0.673041798965	1.34749957793	1.78636628148	1.8456614238	2.76241553558	0.640395340183	1.5887570773	1.51958305708	0.880884074045	1.84846505827	2.03685653938	1.48605409769	1.69892107845	2.15070193023	2.1739942358	0.8311225919	1.44215914913	1.96018042564	1.43830101575	1.49107300638	2.97591914187	3.33060998554	1.65275073543	1.33930739132	1.55821428695	-0.702048557908	0.475740702062	2.10112570238	2.23477599409	1.73028279702	2.61083363875	0.649306615826	0.58266325698	0.199294976834	0.634039107105	0.191458161815	0.514656831693	0.664257028664	0.497869071158	-0.441248609968	0.952456964006	-0.308419479171	-0.361460967509	0.193683971008	-0.662666762635	0.0778820158269	0.652852288574	-0.21856743549	0.262254456215	-0.808662966972	-0.308745434	0.0263648220058	-0.869505913804	-0.317807794962	1.51758453682	-0.580005776682	-0.0356846789535	-0.0129740971707	-2.84349470765	-2.47661371732	1.07168955244	0.0468349264818	-0.126167506199	-0.107861426125	0.767387813453	0.277306972437	-0.809479473524	0.652048650833	0.142790291199	-0.214178679544	1.30519662638	0.260651446561	-1.43936552056	-0.92136603666	-1.15565566027	-1.00539309256	-1.11265196211	-0.577059339978	0.31059769012	0.867351136357	-0.256173274379	-0.517347384448	-0.552464711391	0.816658543368	0.744784257712	-0.79098828	-1.96546320396	-0.533121165723	-0.995983270427	0.351757257377	-1.43464400418	-0.93684469224	-1.06505834718	-2.12747433617	-0.133271544631	0.778855766905	-0.400917158415	-0.321220559396	-0.0842470486492	-0.75865380741	-0.322584367059	-0.478873326523	-1.29876483695	-1.14700414401	-0.455143545087	0.264075917069	-0.200814468167	0.448783773119	-0.869751807213	-0.052010697498	-1.38877958531	-1.48098159297	0.332323400811	-1.69862347084	-1.25062825609	-1.32039483611	-2.36371512033	-1.96511681029	0.978697069354	-0.129832793929	0.00893172418948	0.255937494024	0.313540330812	-0.0252670357938	-0.0428246360999	0.371926981712	0.0102647217584	0.326890819209	-0.429256694502	-1.24890098262
ES7	bone	ewings_sarcoma	1.3598814708	1.49217458601	1.52895618907	0.635146811282	2.48204734722	1.75824665782	1.12622864293	0.385139522906	1.68781265969	1.75519683548	0.0896190816909	2.71988510607	1.59795140988	1.73285167027	2.81820190181	0.900129682854	1.64103246936	0.492997795002	0.253069191874	1.29873627017	1.28056969401	1.3284339368	0.992340602161	2.08742598084	1.6272052376	0.857974833978	1.75714607814	1.1889216629	1.24177505222	3.04572244889	2.09177970041	3.03259311329	1.08515670112	1.23191744056	1.16491248033	-0.0772888528393	2.09453858544	0.74079479932	1.3766346757	1.07710835437	1.76167041673	-0.716345131817	-0.837302288608	-0.395567248651	-2.09325444657	-1.02899288017	-0.831995976812	-0.126297952704	-0.360672461231	-0.221016723925	0.579308505851	-0.41101163339	-1.71180124588	-0.803399476617	1.36549211736	-0.0736771781123	0.29902666079	0.29243421142	-0.4540579522	-1.75620553988	-0.69781063817	0.172381252513	-0.721154950466	-0.232161293965	1.33880908686	-1.20812143859	-0.0175695771245	-1.67863000682	0.0328306916309	-0.22787366538	-0.801630700984	-0.746399989402	-1.13057419547	-0.545415306903	0.914197249584	-0.0356515989029	0.194231697484	-0.257636913167	-1.85515367129	-0.777464273637	-1.07396888905	0.0168908554762	-2.898017887	-0.721749628394	-1.47270643181	-0.977418201731	-1.50575998521	-1.05768967699	0.034120005257	1.132981395	-0.731785523181	-0.463206199693	-0.395895403448	1.4178913584	-0.0624203308391	-0.632727416748	-1.55160569388	0.655509922982	-0.394647435674	0.710537373046	-1.46182447884	-0.844789522847	-0.624285566148	-1.15435303018	0.532319327431	1.117816289	0.0265822144025	-0.853339414661	-1.21772090001	-1.26869548829	0.450733642779	-0.737223594721	0.382440817408	-1.35201202979	-1.30224337106	0.333964032001	-0.0402947310332	0.23508888966	-0.955853164207	0.358996237239	0.808273889974	-0.412865773847	-0.124451100675	0.537199203791	-1.72255034401	-1.18845369899	-1.40018894021	-1.1399707635	1.17221239799	0.396030582171	1.09375671365	-1.64154449958	-0.0111506626692	-1.34335479552	0.541677145843	0.837805304747	-0.782381602098	-1.5312117188	-0.371248436476	-1.82411820622
EW-11	bone	ewings_sarcoma	0.797930595884	0.196410486147	0.82986313404	1.07870121286	0.867459482329	1.63916961213	1.13094265897	0.202737104184	2.1535078752	2.06994046151	1.28813334448	0.756383467297	1.12237597374	1.43987335735	2.7778287912	2.47960530035	1.28341694741	1.09250161565	1.65632631313	1.34050326658	1.29218014819	1.52902130912	1.58238998291	2.7038342826	2.2494249037	0.18322445041	1.96717263783	1.95141371109	1.9008596992	3.71187334956	2.55770339162	1.86753962611	1.34434023949	0.368267967673	1.14767171937	-0.019912101715	0.978791008469	1.71790262539	1.30057623688	1.3797503036	1.69519191702	0.23248523923	-0.0901229926821	0.373615155177	0.172344770747	0.0897401415294	-0.463449406272	0.186906633979	1.05186070006	1.42636041694	1.12927486315	0.922503987049	0.18903331363	0.135387336329	0.090571718467	0.276176880347	0.500115541258	0.982477188172	-0.554043150409	-0.557786458715	0.664024346856	0.892513210032	0.0750937986363	0.208369765697	1.74579635682	-0.124014420428	0.298787518809	1.14596162418	-1.77248443311	-2.0867736054	0.614361634916	0.122023171884	-0.0548393880533	-0.138619389733	-0.352714439618	0.379052787608	-0.261509216624	0.595276965952	0.190562477685	0.630514465271	1.57914091201	-0.293912230966	-0.911904777546	-0.611338405505	-0.131401945446	-0.216624516995	-0.831200150609	-0.435748561894	-0.252426582659	-0.537590088306	-0.559749976228	-0.562979697271	0.0720758341835	0.943157198724	0.551930284577	-1.43856383526	-1.64803748993	0.121060371731	-0.733762802039	-0.396190260679	-0.841130031632	-0.1728925477	0.181969900343	-0.968909615145	0.43565052575	1.77591169336	-0.789683817767	0.360705884406	1.26910809789	-1.1358914932	0.0309315225223	-1.25386499448	0.562885190693	0.10153432384	0.528510382885	0.0541537258949	0.263687381212	0.358444624937	-0.192904935297	1.01529396522	0.632917559111	1.28845225232	1.10630792119	-0.413263330567	-0.416157881658	-0.106009502831	0.384507066583	0.223859574962	1.05963550158	0.59028463641	1.27895980584	1.48722718773	0.69624538779	0.899415235606	-1.19080864779	0.60372903941	0.0842131413221	-0.149648188398	-0.586402438638	-1.7738693827
NCI-H1395	lung	lung_NSCLC_adenocarcinoma	1.39860922329	0.581537748285	1.95942956624	-0.0168487893162	1.73490795291	1.26229835033	0.630656861279	1.36459217183	0.867441631888	1.95539585925	0.570499053071	0.117145420502	1.11236195303	1.11855020414	0.713743203119	1.23466058539	0.939949151119	1.29202777889	-0.399163417978	1.28350761548	0.320418189758	0.988026475447	1.37012722892	0.395433186707	2.44584223952	1.68772100914	1.02449703874	1.11018782033	1.56360371372	3.02883968508	0.465576097296	1.41073788366	1.3486011176	0.680535480232	1.13674643557	0.31186073407	1.03238242843	1.40491310104	1.06784158458	0.872538743979	0.60447375324	2.74483917179	2.45055054538	1.86752473442	0.846219850813	0.194806864923	0.938218159245	0.587235447164	0.85790680104	1.29817723053	1.05827149742	0.820529562482	1.41281060006	1.28581281805	0.701759013331	1.95637257886	-0.293203546525	1.33994613464	3.2073226841	0.719504035925	1.75760205986	2.16505527773	0.0820147005662	0.533775038866	1.25515020478	0.794203589159	0.686056651836	1.95063430076	1.47990427998	1.42891229724	-0.118091770375	1.37707543298	0.0222312907384	1.99613700866	1.08136539999	-0.136550340497	1.83538455065	0.626560945568	1.29451313753	1.2599548556	0.579079001781	1.34478868772	0.678357681563	-0.872142174678	0.27212156003	0.265752257037	-0.447936730785	0.680671328597	0.356599685954	0.815894186563	1.03466628137	0.992243646965	0.843326947751	0.0122289070261	1.45833427856	1.04013834188	0.26273258407	0.163529690973	0.253148252104	0.426792134091	0.730852670021	-0.732372608895	-0.286668868661	-0.549293721291	0.00394242091707	-0.635620941662	0.145961088997	1.06850324957	-0.355051975746	-0.698212241991	0.479250397601	0.787308881426	0.665670825785	0.0728707646191	0.151188365093	-0.0736088761696	-0.401634380095	0.813002146605	0.986278960612	1.04411925512	0.380081452697	0.664837212203	-0.0177523097401	-0.76896816332	1.23325284516	0.357852487625	0.808355285886	0.427960302372	0.00924144403071	0.638831383417	0.721102761994	-0.515519322046	-0.26485896208	-1.30771593552	-0.177382483577	0.322552172311	0.22785257034	0.080216492763	1.03939437399	-0.889569681825
COLO-829	skin	melanoma	0.8975685437	1.13521323842	1.8297052863	1.02192690722	-1.18636836883	1.30431376269	0.0533943794453	-2.15487848844	0.947836993139	1.5670522844	0.700319895971	1.31797470604	1.2935889907	0.936736019177	2.35010472147	1.22328792898	-0.989590518551	0.705015084528	1.41486315451	1.37658617028	0.682798153428	-0.943709146912	1.24081265571	1.42330161155	1.93392222873	1.87087748944	1.85029325738	-0.121769398022	-0.45520636068	1.89537141943	1.37994570852	-0.123598637356	0.773099847763	0.920569372584	0.00409679026758	-1.65527422031	0.5749580329	1.46333715891	0.696120487137	1.03949798997	-0.226782313742	0.892366077059	-0.495618048919	1.56623758231	0.814831139446	-2.70539293192	0.509944678014	-0.0298801964659	1.2360019682	0.866250328411	-1.95610419467	0.0732182084424	-0.569138722995	-0.466662777439	-1.8450456066	-0.719282702605	-1.81592454316	1.76047640716	-0.364952969211	0.0591255207816	-0.836043379669	-1.41118424009	1.09588343703	1.19046194844	1.01378300396	2.14474453145	0.0969676665357	0.277296558013	0.118881128331	1.010799571	-0.788232101707	0.659141898994	0.00220867595114	0.631007686068	-1.81366820277	0.773778086208	0.870269511074	1.55625202236	0.264147019352	0.144500293819	-0.0475005662154	0.0879932695415	-0.609518353924	-0.599055778472	-0.857816670864	0.650690245398	-0.174871650637	-0.0460602478125	0.38534483364	0.48791585713	0.972124213422	0.167508233196	0.559334560636	-0.661175231949	-1.0540355058	0.174583142898	0.0815559980512	0.113543689159	1.06369775454	0.426498983395	-0.508430350722	-0.444373572674	0.77695906817	0.883902161144	0.172997588579	-0.394717805156	0.615569904249	-0.389462907404	0.368376659128	-0.0352349615018	0.421154638702	-0.964392829118	-1.61324856299	0.427528103539	0.330731627204	0.056555444679	-0.293027213819	0.50469803834	-1.13743471951	-1.0781280756	0.797004861427	-0.942217767081	0.502963648214	-1.16180659078	-1.11847307468	0.615547501353	0.90002495267	1.3242124883	-0.695787847258	-2.12560047776	-1.44861318543	0.434538281415	-0.354494982387	-0.191544699899	-0.550889468157	0.020637557796	1.38770274886	0.170852454878	-0.121450566381	0.12090185565
5637	urogenital_system	Bladder	-0.812412216472	0.158119790597	-0.680592905389	-0.944182451229	-0.432786173038	0.545740868513	-0.944808072461	-0.584575332237	-0.782132406188	-0.540578512819	-0.93991823026	-0.421415711703	-0.884422499731	-0.811110842745	-0.562532917698	-0.725436216439	-0.29496047931	-0.93422547428	0.461650175103	-0.874147950396	-0.695430477548	-0.568876860393	-0.917568731568	0.335696038077	-0.602419185216	-0.854290372616	-0.840205821624	-0.822403502682	0.324105120295	0.0674927776006	0.438260600186	-0.376758409009	-0.904898726257	-0.980105040798	-0.908916319104	0.837680361566	-0.799055840386	-0.900690280374	-0.874142678117	-0.849760595241	-0.72719015253	-0.955849883563	-0.787272219466	0.766948605955	-1.10001265132	-0.716198601464	0.263435184865	0.380776341354	-1.08783484737	-0.144351598421	0.626477303151	0.0835413141228	0.850458975321	1.15484049757	-1.01701694004	0.18526007954	-0.27280527736	-1.30869813782	2.44859373682	1.20241711436	-0.263719531833	-0.086144046467	-0.380557961395	0.360948657786	-1.25219480383	-0.0148417100979	-0.221585360244	-0.669930149543	-0.728399240846	-0.270773256996	0.462129531018	-1.5335890014	0.188914888503	-0.635976258753	-0.219492042412	0.723236984939	-0.524840761068	-1.13550329253	0.797096802574	-0.932102681011	0.58317210087	0.373179994877	-0.718515389674	-1.6349506956	-0.983995235428	-0.650005154488	-1.94830959211	-0.753307118287	0.579583747263	-0.0700802709724	-0.311530840346	-0.149979099086	0.796968653774	-0.0322027429308	0.831196608351	0.30494824751	-1.39889925037	0.723604068401	-1.24549270589	0.636729910905	0.261646161835	-0.74561094775	0.873002491492	-1.234613548	-0.920806633869	-1.13965930172	0.678196587368	-0.155527960135	-0.22207179922	-0.286629102136	-1.18461564863	0.554457556057	-0.741492457834	-0.0471437269283	0.413704299517	0.461949802625	0.636317785082	-0.035305060779	-0.922228791935	0.94963336177	0.672087957548	-0.232287610684	-1.74551435623	-0.00937087492589	1.62145921414	-0.235690406335	-0.360528767176	0.294250813284	1.13371921453	0.236252692755	0.76631054667	1.07754432718	0.498384666079	-0.518821518234	1.0857383743	0.189539255395	-0.891477576686	0.0108061159041	-0.712574899636	-0.64349748774
